type,title,director,date_added,release_year,rating,duration
Movie,Born Racer,Bryn Evans,8-jul.-20,2018,R,89
Movie,Born Strong,"Gary Cohen, Ross Hockrow",31-Dec-17,2017,TV-MA,86
Movie,Born to Be Free,Gayane Petrosyan,1-Apr-17,2016,TV-14,74
Movie,300 Miles to Heaven,Maciej Dejczer,1-Oct-19,1989,TV-14,93
Movie,Boss,Anthony D'Souza,5-jul.-20,2013,TV-14,139
Movie,Bosta,Philippe Aractingi,19-Oct-20,2005,TV-14,112
TV Show,Botched Up Bodies,,2-Oct-19,2013,TV-MA,1
TV Show,Bottersnikes & Gumbles,,24-mar.-17,2017,TV-Y7,2
Movie,Bottom of the World,Richard Sears,28-May-20,2017,TV-MA,84
TV Show,Bountiful Blessings,,1-Aug-17,2011,TV-14,1
Movie,Boushkash,"Ahmed Yousry, Hazem Fouda",28-Apr-20,2008,TV-MA,100
Movie,Boy and the World,Alê Abreu,1-Oct-17,2013,PG,80
Movie,Boy Bye,Chris Stokes,2-Apr-19,2016,TV-MA,86
Movie,Boy Missing,Mar Targarona,19-Feb-17,2016,TV-MA,105
Movie,365 Days,"Barbara Białowąs, Tomasz Mandes",7-jun.-20,2020,TV-MA,114
Movie,Boyka: Undisputed,Todor Chapkanov,1-Aug-19,2016,R,90
TV Show,Boys Over Flowers,,16-May-20,2009,TV-14,1
Movie,Brad Paisley's Comedy Rodeo,Jay Chapman,15-Aug-17,2017,TV-MA,63
Movie,Brahman Naman,Qaushiq Mukherjee,6-jul.-16,2016,TV-MA,96
TV Show,Brain Games,," March 15, 2019",2016,TV-G,3
Movie,Brain on Fire,Gerard Barrett,22-jun.-18,2016,PG-13,89
TV Show,Brainchild,,2-nov.-18,2018,TV-G,1
Movie,Brampton's Own,Michael Doneger,19-Apr-19,2018,TV-MA,90
Movie,Bratz: The Movie,Sean McNamara,29-jun.-20,2007,PG,102
Movie,Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves,21-Oct-20,2020,TV-PG,51
Movie,37 Seconds,Hikari,31-jan.-20,2020,TV-MA,116
TV Show,Brave Miss World,Cecilia Peck,17-Feb-18,2013,TV-14,1
Movie,Brave New Jersey,Jody Lambert,15-Dec-17,2016,TV-MA,92
Movie,Braven,Lin Oeding,17-Dec-20,2018,R,94
TV Show,Braxton Family Values,,15-Feb-20,2014,TV-PG,2
TV Show,Bread Barbershop,,15-Aug-20,2020,TV-Y,1
Movie,Break,Marc Fouchard,3-Dec-20,2018,TV-MA,96
TV Show,BREAK IT ALL: The History of Rock in Latin America,Picky Talarico,16-Dec-20,2020,TV-MA,1
Movie,Break Ke Baad,Danish Aslam,19-nov.-20,2010,TV-14,108
Movie,Break Up 100,Lawrence Cheng,1-Dec-18,2014,TV-14,105
TV Show,"Breakfast, Lunch & Dinner",,23-Oct-19,2019,TV-MA,1
TV Show,3Below: Tales of Arcadia,,12-jul.-19,2019,TV-Y7,2
TV Show,Breaking Bad,,2-Aug-13,2013,TV-MA,5
Movie,Breaking Free,Sridhar Rangayan,15-Dec-17,2015,TV-MA,81
Movie,Breaking the Bank,Vadim Jean,1-jan.-20,2014,TV-PG,105
TV Show,Breakout,,1-jul.-17,2010,TV-14,1
Movie,Breath,Simon Baker,5-Dec-18,2018,TV-MA,116
Movie,Brené Brown: The Call to Courage,Sandra Restrepo,19-Apr-19,2019,TV-14,77
TV Show,Brews Brothers,,10-Apr-20,2020,TV-MA,1
Movie,Brian Regan: Nunchucks and Flamethrowers,Troy Miller,21-nov.-17,2017,TV-PG,61
Movie,Brick,Rian Johnson,1-Sep-18,2005,R,110
Movie,Bride For Rent,Mae Czarina Cruz,27-Feb-19,2014,TV-PG,110
Movie,1922,Zak Hilditch,20-Oct-17,2017,TV-MA,103
Movie,40 Sticks,Victor Gatonye,20-nov.-20,2019,TV-14,93
Movie,Bridezilla,Andibachtiar Yusuf,24-Dec-20,2019,TV-MA,94
TV Show,Bridgerton,,25-Dec-20,2020,TV-MA,1
Movie,Bridget Christie: Stand Up for Her,,31-mar.-17,2016,TV-MA,51
Movie,Bright,David Ayer,22-Dec-17,2017,TV-MA,118
TV Show,Bright: The Music Videos,David Ayer,23-nov.-17,2017,TV-MA,1
Movie,Brij Mohan Amar Rahe,Nikhil Nagesh Bhat,4-Aug-18,2018,TV-MA,100
TV Show,"Bring It On, Ghost",Park Joon-hwa,30-Oct-19,2016,TV-14,1
Movie,Bring It On: Worldwide Showdown,Robert Adetuyi,29-Aug-17,2017,PG-13,95
TV Show,Bringing Sexy Back,,2-Oct-19,2015,TV-14,1
TV Show,Broadchurch,,27-nov.-17,2017,TV-MA,3
Movie,42 Grams,Jack C. Newell,1-Feb-18,2017,TV-MA,81
TV Show,Broken,,27-nov.-19,2019,TV-14,1
TV Show,Bromance,,1-Dec-16,2015,TV-PG,1
Movie,Brooklyn's Finest,Antoine Fuqua,1-Oct-18,2009,R,133
Movie,Brother,Julien Abraham,22-nov.-19,2019,TV-MA,97
Movie,Brother in Love,Onur Bilgetay,4-Oct-19,2019,TV-MA,110
Movie,Brother's Shadow,Todd S. Yellin,1-Sep-17,2006,TV-MA,90
TV Show,Brotherhood,,25-Oct-19,2019,TV-MA,1
Movie,Brotherhood of Blades II: The Infernal Battlefield,Lu Yang,28-nov.-18,2017,TV-MA,120
Movie,Brothers,Karan Malhotra,1-Apr-20,2015,TV-14,155
TV Show,Brown Nation,,15-nov.-16,2016,TV-14,1
TV Show,44 Cats,,1-Oct-20,2018,TV-Y7,2
Movie,Bruno and Boots: Go Jump in the Pool,Vivieno Caldinelli,24-jun.-17,2016,TV-PG,91
Movie,Bruno and Boots: The Wizzle War,Vivieno Caldinelli,1-jul.-17,2017,TV-PG,90
Movie,Bruno and Boots: This Can't Be Happening at Macdonald Hall,Vivieno Caldinelli,24-jun.-17,2017,TV-PG,90
Movie,Bucket List,Tejas Prabha Vijay Deoskar,5-nov.-18,2018,TV-14,129
Movie,Budapest,Xavier Gens,1-mar.-19,2018,TV-MA,103
TV Show,Buddha,,1-Apr-18,2013,TV-PG,1
TV Show,Buddi,,11-Sep-20,2020,TV-Y,2
Movie,Buddies,Marcelo Galvão,15-Feb-19,2012,TV-MA,103
TV Show,Buddy Thunderstruck,,10-mar.-17,2017,TV-Y7,1
Movie,Buddy Thunderstruck: The Maybe Pile,Harry Chaskin,14-jul.-17,2017,TV-Y7,14
TV Show,45 rpm,,16-Aug-19,2019,TV-MA,1
Movie,Budhia Singh: Born to Run,Soumendra Padhi,5-jul.-20,2016,TV-MA,95
Movie,Buffalo Boys,Mike Wiluan,12-Apr-19,2018,TV-MA,103
Movie,Bugs,Andreas Johnsen,20-Feb-18,2016,TV-G,73
Movie,Bulbbul,Anvita Dutt,24-jun.-20,2020,TV-MA,94
Movie,Bulbul Can Sing,Rima Das,15-jan.-20,2018,TV-14,95
Movie,Bullet Head,"Paul Solet, Rick Benattar",7-mar.-18,2017,R,94
Movie,Bulletproof 2,Don Michael Paul,9-jan.-20,2020,TV-MA,97
Movie,Bullitt County,David McCracken,1-jun.-19,2018,TV-MA,98
Movie,Bully,Lee Hirsch,29-Sep-20,2012,PG-13,98
TV Show,Bumping Mics with Jeff Ross & Dave Attell,,27-nov.-18,2018,TV-MA,1
Movie,48 Christmas Wishes,"Marco Deufemia, Justin G. Dyck",20-Dec-17,2017,TV-G,84
TV Show,Bunk'd,,24-Aug-20,2020,TV-G,4
TV Show,"Bure Kaam Bura Natija, Kyun Bhai Chacha Haan Bhatija",,31-mar.-18,2017,TV-PG,1
Movie,Burlesque,Steve Antin,16-Dec-19,2010,PG-13,119
Movie,Burlesque: Heart of the Glitter Tribe,Jon Manning,1-jun.-17,2017,TV-MA,76
Movie,Burn Out,Yann Gozlan,15-mar.-19,2017,TV-MA,104
TV Show,Burned Cocoon,,1-Apr-17,2005,TV-MA,1
Movie,Burning,Lee Chang-dong,29-Apr-19,2018,TV-MA,148
Movie,Burning Cane,Phillip Youmans,6-nov.-19,2019,TV-MA,78
Movie,Burning Sands,Gerard McMurray,10-mar.-17,2017,TV-MA,102
TV Show,Burnistoun,," October 1, 2019",2012,TV-MA,2
Movie,4L,Gerardo Olivares,12-jul.-19,2019,TV-MA,105
Movie,Bushwick,"Cary Murnion, Jonathan Milott",24-nov.-17,2017,TV-MA,94
TV Show,Busted!,,8-nov.-19,2019,TV-14,2
Movie,Buster's Mal Heart,Sarah Adina Smith,26-Aug-17,2016,TV-MA,98
Movie,Butterfield 8,Daniel Mann,1-nov.-19,1960,TV-14,108
Movie,BuyBust,Erik Matti,13-nov.-18,2018,TV-MA,128
Movie,Bwakaw,Jun Lana,16-Dec-20,2012,TV-MA,110
Movie,By the Sea,Angelina Jolie,16-Feb-20,2015,R,122
Movie,Bye Bye London,Almunsif Alsuwaisi,21-May-20,1981,TV-14,177
Movie,Bygones Be Bygones,Hakan Algül,11-Oct-19,2017,TV-MA,104
Movie,Bypass Road,Naman Nitin Mukesh,15-mar.-20,2019,TV-14,135
Movie,4th Man Out,Andrew Nackman,5-May-16,2015,NR,86
Movie,C Kkompany,Sachin Yardi,31-May-19,2008,TV-14,127
Movie,Cézanne et moi,Daniele Thompson,7-Sep-17,2016,R,114
Movie,Cabin Fever,Travis Zariwny,6-jun.-19,2016,R,98
TV Show,Cabins in the Wild with Dick Strawbridge,,15-Sep-18,2017,TV-PG,1
TV Show,Cable Girls,,3-jul.-20,2019,TV-MA,6
Movie,Cadaver,Jarand Herdal,22-Oct-20,2020,TV-MA,87
TV Show,Cagaster of an Insect Cage,,6-Feb-20,2020,TV-MA,1
Movie,Cahaya Dari Timur Beta Maluku,Angga Dwimas Sasongko,5-Oct-18,2014,TV-14,151
Movie,Caida del Cielo,Néstor Sánchez Sotelo,20-jan.-17,2016,TV-MA,78
TV Show,Cain and Abel,,12-mar.-19,2009,TV-MA,1
Movie,4th Republic,Ishaya Bako,13-jun.-20,2019,TV-MA,120
Movie,Cairo Station,Youssef Chahine,18-jun.-20,1958,TV-14,73
Movie,Cake,Asim Abbasi,15-May-19,2018,TV-MA,125
Movie,Calendar Girls,Madhur Bhandarkar,15-Oct-17,2015,TV-14,126
Movie,Calibre,Matt Palmer,29-jun.-18,2018,TV-MA,101
TV Show,Calico Critters,,1-nov.-18,2018,TV-Y,1
TV Show,Calico Critters Mini Episodes Clover,,1-mar.-20,2020,TV-Y,1
Movie,Calico Critters: A Town of Dreams,Momoko Kamiya,1-nov.-18,2017,TV-Y,11
Movie,Calico Critters: Everyone's Big Dream Flying in the Sky,Momoko Kamiya,1-mar.-20,2019,TV-Y,11
Movie,Calico Critters: The Treasure of Calico Village,Momoko Kamiya,1-nov.-18,2017,TV-Y,22
TV Show,Caliphate,,18-mar.-20,2020,TV-MA,1
Movie,5 Cowok Jagoan,Anggy Umbara,5-jan.-19,2017,TV-MA,106
TV Show,Call Me Francis,,16-Dec-16,2016,TV-14,1
TV Show,Call My Agent!,,4-jan.-19,2018,TV-MA,3
TV Show,Call the Midwife,Philippa Lowthorpe,15-Sep-20,2020,TV-MA,9
Movie,Calum von Moger: Unbroken,Vlad Yudin,13-Aug-19,2019,TV-MA,93
Movie,Cam,Daniel Goldhaber,16-nov.-18,2018,TV-MA,95
TV Show,Camarón Revolution,,18-jul.-18,2018,TV-14,1
Movie,Camarón: The Film,Alexis Morante,18-jul.-18,2018,TV-14,105
TV Show,Camelia la Texana,Carlos Bolado,1-Feb-17,2014,TV-14,1
Movie,Camera Store,Scott Marshall Smith,20-Aug-17,2016,TV-MA,104
Movie,Camp Cool Kids,Lisa Arnold,1-jan.-18,2017,TV-G,104
Movie,5 Flights Up,Richard Loncraine,17-mar.-19,2014,PG-13,92
TV Show,Camp X,,1-Feb-19,2014,TV-MA,1
Movie,Camp X-Ray,Peter Sattler,14-jan.-17,2014,R,117
TV Show,Can We Get Married?,,22-May-17,2012,TV-14,1
TV Show,Can You Hear Me?,,2-nov.-20,2020,TV-MA,2
TV Show,"Can't Cope, Won't Cope",,28-May-20,2018,TV-MA,2
Movie,Can't Hardly Wait,"Harry Elfont, Deborah Kaplan",1-jan.-21,1998,PG-13,101
Movie,Can't Help Falling in Love,Mae Czarina Cruz,27-Feb-19,2017,TV-14,120
Movie,Can’t Complain,Ahmed Nader Galal,3-jun.-20,2007,TV-MA,114
Movie,Candy Jar,Ben Shelton,27-Apr-18,2018,TV-14,93
TV Show,Candy Online,,17-nov.-19,2019,TV-MA,1
TV Show,1983,,30-nov.-18,2018,TV-MA,1
Movie,5 Star Christmas,Marco Risi,7-Dec-18,2018,TV-14,96
Movie,Candyflip,Shanawaz Nellikunnil,15-Feb-19,2017,TV-MA,104
Movie,Candyman,Bernard Rose,1-Oct-19,1992,R,99
TV Show,Cannabis,,15-Dec-16,2016,TV-MA,1
TV Show,Cannon Busters,,15-Aug-19,2019,TV-MA,1
Movie,Canvas,Frank E. Abney III,11-Dec-20,2020,G,9
Movie,Capital in the Twenty-First Century,Justin Pemberton,8-Sep-20,2019,TV-14,103
Movie,Cappuccino,Noushad,1-jul.-18,2017,TV-PG,126
Movie,Captain Underpants Epic Choice-o-Rama,,11-Feb-20,2020,TV-Y7,81
Movie,Captain Underpants Mega Blissmas,"Erik Kling, Kevin Peaty",4-Dec-20,2020,TV-Y7,46
TV Show,Captive,,9-Dec-16,2016,TV-MA,1
Movie,5 to 7,Victor Levin,16-mar.-17,2014,R,97
TV Show,Car Masters: Rust to Riches,,27-mar.-20,2020,TV-PG,2
Movie,Carbon,Olivier Marchal,1-Sep-18,2017,TV-MA,104
Movie,Cardboard Gangsters,Mark O'Connor,15-Sep-18,2016,TV-MA,92
TV Show,Cardcaptor Sakura,,1-jun.-20,1999,TV-Y7,2
TV Show,Care Bears & Cousins,,5-Feb-16,2016,TV-Y,2
TV Show,Care Bears: Welcome to Care-a-Lot,,2-Aug-19,2012,TV-Y,1
Movie,Care of Kancharapalem,Maha Venkatesh,6-Sep-19,2018,TV-14,142
Movie,Caregiver,Chito S. Roño,5-mar.-19,2008,TV-14,131
Movie,Cargo,Arati Kadav,9-Sep-20,2020,TV-14,113
Movie,Carlos Almaraz: Playing with Fire,"Elsa Flores Almaraz, Richard J Montoya",1-Oct-20,2019,TV-14,83
Movie,50 First Dates,Peter Segal,1-Dec-20,2004,PG-13,99
Movie,Carlos Ballarta: El amor es de putos,"Jan Suter, Raúl Campos Delgado",21-nov.-16,2016,TV-MA,67
Movie,Carlos Ballarta: Furia Ñera,"Raúl Campos, Jan Suter",11-May-18,2018,TV-MA,63
TV Show,Carmel: Who Killed Maria Marta?,Alejandro Hartmann,5-nov.-20,2020,TV-14,1
TV Show,Carmen Sandiego,,15-jan.-21,2021,TV-Y7,4
Movie,Carmen Sandiego: To Steal or Not to Steal,Jos Humphrey,10-mar.-20,2020,TV-Y7,82
Movie,Carol,Todd Haynes,20-Oct-20,2015,R,119
TV Show,CAROLE & TUESDAY,,24-Dec-19,2019,TV-MA,2
Movie,Carrie,Brian De Palma,1-jun.-19,1976,R,98
Movie,Carrie Pilby,Susan Johnson,5-Sep-17,2016,TV-MA,98
Movie,Carriers,"Àlex Pastor, David Pastor",20-nov.-19,2009,PG-13,85
Movie,50/50,Jonathan Levine,1-jun.-19,2011,R,100
Movie,Casa de mi Padre,Matt Piedmont,14-nov.-12,2012,R,84
Movie,Casablancas: The Man Who Loved Women,Hubert Woroniecki,13-jan.-17,2016,TV-14,82
TV Show,Case,,9-nov.-16,2015,TV-MA,1
Movie,Case 39,Christian Alvart,1-jan.-21,2009,R,111
TV Show,Case Closed,,4-jan.-19,2015,TV-14,1
Movie,Casino Royale,Martin Campbell,31-Aug-20,2006,PG-13,145
Movie,Casino Tycoon,Wong Jing,1-Aug-18,1992,TV-MA,125
Movie,Casino Tycoon 2,Wong Jing,16-Aug-18,1992,TV-MA,108
Movie,Casting JonBenet,Kitty Green,28-Apr-17,2017,TV-14,81
TV Show,Castle and Castle,,14-Feb-20,2018,TV-MA,1
Movie,5CM,Rizal Mantovani,28-Sep-18,2012,TV-14,126
TV Show,Castle of Stars,,7-Sep-18,2015,TV-MA,1
TV Show,Castlevania,,5-mar.-20,2020,TV-MA,3
Movie,Cat on a Hot Tin Roof,Richard Brooks,1-nov.-19,1958,NR,108
Movie,Catch Me If You Can,Steven Spielberg,1-jan.-21,2002,PG-13,141
Movie,Catching Feelings,Kagiso Lediga,18-May-18,2018,TV-MA,117
Movie,Catching the Sun,Shalini Kantayya,22-Apr-16,2015,TV-14,74
Movie,Catfight,Onur Tukel,1-jun.-17,2016,TV-MA,96
TV Show,Cathedral of the Sea,,31-Aug-18,2017,TV-MA,1
Movie,Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,1-Feb-19,2010,PG,82
Movie,Catwalk: Tales from the Cat Show Circuit,"Aaron Hancox, Michael McNamara",7-jan.-19,2018,TV-PG,75
Movie,5Gang,Matei Dima,27-Apr-20,2019,TV-14,96
TV Show,Caught on Camera,,15-Aug-16,2015,TV-MA,3
Movie,Cave,Henrik Martin Dahlsbakken,15-jun.-17,2016,TV-MA,77
Movie,Cedric the Entertainer: Live from the Ville,Troy Miller,16-Sep-16,2016,TV-MA,60
Movie,Celebrity Marriage,Pascal Amanfo,6-Dec-19,2017,TV-PG,107
TV Show,Cells at Work!,,1-jan.-20,2018,TV-PG,1
Movie,Celluloid Man,Shivendra Singh Dungarpur,1-Apr-17,2012,TV-PG,156
Movie,Cemara's Family,Yandy Laurens,24-Dec-20,2018,TV-G,110
Movie,Center Stage,Nicholas Hytner,1-jan.-20,2000,PG-13,116
Movie,Chaahat,Mahesh Bhatt,1-May-17,1996,TV-14,148
Movie,Chaar Sahibzaade,Harry Baweja,1-nov.-18,2014,TV-PG,126
Movie,6 Balloons,Marja Lewis Ryan,6-Apr-18,2018,TV-MA,75
Movie,Chadi Jawani Budhe Nu,,1-Sep-17,1976,TV-PG,135
Movie,Chal Bhaag,Prakash Balwant Saini,1-Dec-18,2014,TV-14,110
Movie,Chal Dhar Pakad,Aatmaram Dharne,15-mar.-18,2010,TV-14,129
Movie,Chal Mere Bhai,David Dhawan,31-Dec-19,2000,TV-14,132
Movie,Chalay Thay Saath,Umer Adil,15-May-18,2017,TV-14,118
TV Show,Challenger,,16-Sep-20,2020,TV-14,1
Movie,Chalte Chalte,Aziz Mirza,1-jul.-18,2003,TV-14,166
Movie,Chaman Bahaar,Apurva Dhar Badgaiyann,19-jun.-20,2020,TV-MA,112
Movie,Chamatkar,Rajiv Mehra,15-May-17,1992,TV-14,164
TV Show,Chambers,,26-Apr-19,2019,TV-MA,1
Movie,6 Days,Toa Fraser,8-Feb-18,2017,R,94
Movie,Chameli,Sudhir Mishra,15-Feb-19,2004,TV-14,102
TV Show,Champions,,8-mar.-19,2018,TV-14,1
Movie,Chance Pe Dance,Ken Ghosh,1-nov.-18,2010,TV-14,121
Movie,Chandani: The Daughter of the Elephant Whisperer,Arne Birkenstock,1-mar.-17,2010,TV-G,87
Movie,Change in the Air,Dianne Dreyer,1-mar.-20,2018,PG,95
Movie,Chaotic Love Poems,Garin Nugroho,5-jan.-19,2016,TV-14,86
Movie,Chappaquiddick,John Curran,1-Oct-18,2017,PG-13,106
Movie,Chappie,Neill Blomkamp,1-jan.-19,2015,R,121
TV Show,Charité,,19-Apr-18,2017,TV-MA,1
TV Show,Charité at War,,15-jun.-19,2019,TV-MA,1
Movie,6 Underground,Michael Bay,13-Dec-19,2019,R,129
Movie,Charlie and the Chocolate Factory,Tim Burton,1-jan.-20,2005,PG,115
Movie,Charlie's Angels,McG,1-Oct-19,2000,PG-13,98
Movie,Charlie's Angels: Full Throttle,McG,1-Oct-19,2003,PG-13,106
TV Show,Charlie's Colorforms City,,22-mar.-19,2019,TV-Y,1
Movie,Charlotte's Web,"Charles A. Nichols, Iwao Takamoto",23-nov.-19,1973,G,94
TV Show,Charmed,,9-May-20,2019,TV-14,2
Movie,Charming,Ross Venokur,8-jan.-21,2021,TV-Y7,85
Movie,Chashme Baddoor,David Dhawan,5-jul.-20,2013,TV-14,121
Movie,Chashme Buddoor,David Dhawan,1-May-17,2013,TV-PG,121
Movie,Chasing Amy,Kevin Smith,1-jan.-20,1997,R,113
Movie,6 Years,Hannah Fidell,8-Sep-15,2015,TV-MA,80
TV Show,Chasing Cameron,,27-Dec-16,2016,TV-14,1
Movie,Chasing Coral,Jeff Orlowski,14-jul.-17,2017,TV-PG,89
TV Show,Chasing Monsters,," December 15, 2017",2016,TV-PG,2
Movie,Chasing the Dragon,"Wong Jing, Jason Kwan",19-Apr-18,2017,TV-MA,129
Movie,Chasing Trane,John Scheinfeld,13-nov.-17,2016,TV-PG,99
Movie,Chatô: The King of Brazil,Guilherme Fontes,1-Oct-16,2015,TV-MA,105
Movie,Chauthi Koot,Gurvinder Singh,1-Feb-17,2015,TV-14,116
TV Show,Cheapest Weddings,,1-Dec-17,2016,TV-14,1
TV Show,Check The Store Next Door: The Next Chapter,,2-Dec-20,2020,TV-14,2
TV Show,Cheer,,8-jan.-20,2020,TV-MA,1
TV Show,1994,Diego Enrique Osorno,17-May-19,2019,TV-MA,1
Movie,6-5=2,Bharat Jain,1-nov.-17,2014,TV-MA,103
TV Show,Cheer Squad,,14-mar.-17,2016,TV-PG,1
TV Show,Cheers,," July 1, 2017",1992,TV-PG,11
TV Show,Cheese in the Trap,Lee Yoon-jung,1-Oct-19,2016,TV-14,1
Movie,Chef,Jon Favreau,1-Dec-20,2014,R,115
TV Show,Chef & My Fridge,," August 4, 2017",2017,TV-PG,2
TV Show,Chef's Table,,22-Feb-19,2019,TV-MA,6
TV Show,Chef's Table: BBQ,,2-Sep-20,2020,TV-14,1
TV Show,Chef's Table: France,,2-Sep-16,2016,TV-14,1
TV Show,Chelsea,,14-Apr-17,2017,TV-MA,2
TV Show,Chelsea Does,,23-jan.-16,2016,TV-MA,1
TV Show,60 Days In,,1-nov.-20,2019,TV-MA,1
Movie,Chelsea Handler: Uganda Be Kidding Me Live,James Yukich,10-Oct-14,2014,TV-MA,71
Movie,Chelsea Peretti: One of the Greats,Lance Bangs,14-nov.-14,2014,TV-MA,75
Movie,Chennai Express,Rohit Shetty,31-Aug-18,2013,TV-14,135
Movie,Chernobyl Diaries,Bradley Parker,1-Aug-18,2012,R,88
TV Show,Cheuk Wan-Chi: Two Night Stand,,15-Dec-17,2015,TV-MA,1
TV Show,Chewin' the Fat,,1-Oct-16,1999,TV-14,1
TV Show,Chewing Gum,," April 4, 2017",2017,TV-MA,2
